Authority Key Identifier,Parent (Usable TLS),Parent (Active TLS),Parent (Test TLS),Parent (Usable BIMI)
02B42679E122454160908543BAAA6527C494F532,0EA48A31DD8399CACCE5B69029F537902A7985703F115C9CB9F8C9896C42245C,0EA48A31DD8399CACCE5B69029F537902A7985703F115C9CB9F8C9896C42245C,0EA48A31DD8399CACCE5B69029F537902A7985703F115C9CB9F8C9896C42245C,
02BF864D0A5809F7A936412FF85D09FC8E7E27F5,5816C6E40799B5BC7F0B14C9614A36D3ACA771DF54A004945F0F8D7E0B29FFCA,5816C6E40799B5BC7F0B14C9614A36D3ACA771DF54A004945F0F8D7E0B29FFCA,5816C6E40799B5BC7F0B14C9614A36D3ACA771DF54A004945F0F8D7E0B29FFCA,
02C2066DB0E70C9A7A65BAA50594B13368C0B498,D6F0919DDD904D875AF953D39BA3CF3278A84F2D0E3DAA8D991119CE67E73FF2,D6F0919DDD904D875AF953D39BA3CF3278A84F2D0E3DAA8D991119CE67E73FF2,D6F0919DDD904D875AF953D39BA3CF3278A84F2D0E3DAA8D991119CE67E73FF2,
02D61E6E09ABBF5865A70A3C483361D1CE7DC35B,AFED624C073E3923F928DCF2EDE5F2C1DE259D1C2A23C4222F8477DE6FEF804A,AFED624C073E3923F928DCF2EDE5F2C1DE259D1C2A23C4222F8477DE6FEF804A,,
02E242A476432FB2E420D2EED12A9F41EE907DAC,3C980210C4F0803388C4D9FA9699E19F88FA3B96B3CF68D675808876747A678A,3C980210C4F0803388C4D9FA9699E19F88FA3B96B3CF68D675808876747A678A,3C980210C4F0803388C4D9FA9699E19F88FA3B96B3CF68D675808876747A678A,
02EC35B351B8368B0492CFF2D84736C94B50BF98,,109DF302264CFE8E944306D05272ED80F4B37BED57CD149EC8D1FC9403A3F9FF,,
02FB45B3171107E93F7ACF27A1820D785CF1733F,4D109320A7A346F8AD702DFFF1A7758EFCB6135BFB2FA38241172569F0332C83,4D109320A7A346F8AD702DFFF1A7758EFCB6135BFB2FA38241172569F0332C83,,
02FB5099EE39CAFB3A6D46086CB153BF25C4F721,EAF9DF32DA5800A0A3804EB4F0106733030CC8C2AEDBE0E5B0EBD034A7CE8402,EAF9DF32DA5800A0A3804EB4F0106733030CC8C2AEDBE0E5B0EBD034A7CE8402,EAF9DF32DA5800A0A3804EB4F0106733030CC8C2AEDBE0E5B0EBD034A7CE8402,
030B7878CB602AB5CDE503D4F01A4B38791E9909,A8A832362DE1DC7BB7C368E01DC617FB2FD7EAF36A97B361EA234F81241D3A75,A8A832362DE1DC7BB7C368E01DC617FB2FD7EAF36A97B361EA234F81241D3A75,A8A832362DE1DC7BB7C368E01DC617FB2FD7EAF36A97B361EA234F81241D3A75,
031303ADF3F43EBDE44E41BDD733D2A7E84E033D,,767320D848A7E1E7EF9729C92D8CC65F747ACC1C548FE032D783D43BCAE62F21,,
0319FDF3B9D34BB1992C861BDF2DAC3FB5441C77,,EECC01DCC16B7DA945696AAE3A47D889024B2E8C31BB853CE276ABA780230F41,,EECC01DCC16B7DA945696AAE3A47D889024B2E8C31BB853CE276ABA780230F41
03219B5F18632EC87EF9AEDAD9179FB6C91B8360,97E229CD78B38BD7B74AC431FA57E294CBAA35EB238293DEDE04B20B218D92BA,97E229CD78B38BD7B74AC431FA57E294CBAA35EB238293DEDE04B20B218D92BA,97E229CD78B38BD7B74AC431FA57E294CBAA35EB238293DEDE04B20B218D92BA,
03252FDE6F82013A5C2CDC2BA169B567D48CD3FD,21DB20123660BB2ED418205DA11EE7A85A65E2BC6E55B5AF7E7899C8A266D92E,21DB20123660BB2ED418205DA11EE7A85A65E2BC6E55B5AF7E7899C8A266D92E,,
0334EFEEFBAAFEA5A9EBEF39999239BDB7547C39,E6685810A9E3F761A32DF0926124C455161F83DFA9E3855224A6B4614B4BE64E,E6685810A9E3F761A32DF0926124C455161F83DFA9E3855224A6B4614B4BE64E,E6685810A9E3F761A32DF0926124C455161F83DFA9E3855224A6B4614B4BE64E,
0335DE0E79019DA1314186F8F26DEB49C8B3C685,7CECDAFC6BE618A40F1BAC26462463847412D676A5C6D23899550EE976BE32FE,7CECDAFC6BE618A40F1BAC26462463847412D676A5C6D23899550EE976BE32FE,7CECDAFC6BE618A40F1BAC26462463847412D676A5C6D23899550EE976BE32FE,
